SiteDetails,Time,RecordDate,DayOfWeek,TimeSlot,WiFiCount,Average,DayType,AccessControlCount,Country,Floor,CompositeKey,LocationCode
RND Building,6:15:00,5/11/2025,Sunday,06:15 - 06:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_06:15:00_06:15 - 06:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,6:30:00,5/11/2025,Sunday,06:30 - 06:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_06:30:00_06:30 - 06:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,6:45:00,5/11/2025,Sunday,06:45 - 07:00,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_06:45:00_06:45 - 07:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,7:00:00,5/11/2025,Sunday,07:00 - 07:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_07:00:00_07:00 - 07:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,7:15:00,5/11/2025,Sunday,07:15 - 07:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_07:15:00_07:15 - 07:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,7:30:00,5/11/2025,Sunday,07:30 - 07:45,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_07:30:00_07:30 - 07:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,7:45:00,5/11/2025,Sunday,07:45 - 08:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_07:45:00_07:45 - 08:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,8:00:00,5/11/2025,Sunday,08:00 - 08:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_08:00:00_08:00 - 08:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,8:15:00,5/11/2025,Sunday,08:15 - 08:30,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_08:15:00_08:15 - 08:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,8:30:00,5/11/2025,Sunday,08:30 - 08:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_08:30:00_08:30 - 08:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,8:45:00,5/11/2025,Sunday,08:45 - 09:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_08:45:00_08:45 - 09:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,9:00:00,5/11/2025,Sunday,09:00 - 09:15,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_09:00:00_09:00 - 09:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,9:15:00,5/11/2025,Sunday,09:15 - 09:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_09:15:00_09:15 - 09:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,9:30:00,5/11/2025,Sunday,09:30 - 09:45,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_09:30:00_09:30 - 09:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,9:45:00,5/11/2025,Sunday,09:45 - 10:00,1,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_09:45:00_09:45 - 10:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,10:00:00,5/11/2025,Sunday,10:00 - 10:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_10:00:00_10:00 - 10:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,10:15:00,5/11/2025,Sunday,10:15 - 10:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_10:15:00_10:15 - 10:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,10:30:00,5/11/2025,Sunday,10:30 - 10:45,2,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_10:30:00_10:30 - 10:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,10:45:00,5/11/2025,Sunday,10:45 - 11:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_10:45:00_10:45 - 11:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,11:00:00,5/11/2025,Sunday,11:00 - 11:15,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_11:00:00_11:00 - 11:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,11:15:00,5/11/2025,Sunday,11:15 - 11:30,1,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_11:15:00_11:15 - 11:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,11:30:00,5/11/2025,Sunday,11:30 - 11:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_11:30:00_11:30 - 11:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,11:45:00,5/11/2025,Sunday,11:45 - 12:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_11:45:00_11:45 - 12:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,12:00:00,5/11/2025,Sunday,12:00 - 12:15,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_12:00:00_12:00 - 12:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,12:15:00,5/11/2025,Sunday,12:15 - 12:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_12:15:00_12:15 - 12:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,12:30:00,5/11/2025,Sunday,12:30 - 12:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_12:30:00_12:30 - 12:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,12:45:00,5/11/2025,Sunday,12:45 - 13:00,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_12:45:00_12:45 - 13:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,13:00:00,5/11/2025,Sunday,13:00 - 13:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_13:00:00_13:00 - 13:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,13:15:00,5/11/2025,Sunday,13:15 - 13:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_13:15:00_13:15 - 13:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,13:30:00,5/11/2025,Sunday,13:30 - 13:45,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_13:30:00_13:30 - 13:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,13:45:00,5/11/2025,Sunday,13:45 - 14:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_13:45:00_13:45 - 14:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,14:00:00,5/11/2025,Sunday,14:00 - 14:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_14:00:00_14:00 - 14:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,14:15:00,5/11/2025,Sunday,14:15 - 14:30,2,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_14:15:00_14:15 - 14:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,14:30:00,5/11/2025,Sunday,14:30 - 14:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_14:30:00_14:30 - 14:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,14:45:00,5/11/2025,Sunday,14:45 - 15:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_14:45:00_14:45 - 15:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,15:00:00,5/11/2025,Sunday,15:00 - 15:15,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_15:00:00_15:00 - 15:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,15:15:00,5/11/2025,Sunday,15:15 - 15:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_15:15:00_15:15 - 15:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,15:30:00,5/11/2025,Sunday,15:30 - 15:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_15:30:00_15:30 - 15:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,15:45:00,5/11/2025,Sunday,15:45 - 16:00,2,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_15:45:00_15:45 - 16:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,16:00:00,5/11/2025,Sunday,16:00 - 16:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_16:00:00_16:00 - 16:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,16:15:00,5/11/2025,Sunday,16:15 - 16:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_16:15:00_16:15 - 16:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,16:30:00,5/11/2025,Sunday,16:30 - 16:45,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_16:30:00_16:30 - 16:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,16:45:00,5/11/2025,Sunday,16:45 - 17:00,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_16:45:00_16:45 - 17:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,17:00:00,5/11/2025,Sunday,17:00 - 17:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_17:00:00_17:00 - 17:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,17:15:00,5/11/2025,Sunday,17:15 - 17:30,2,1.66,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_17:15:00_17:15 - 17:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,17:30:00,5/11/2025,Sunday,17:30 - 17:45,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_17:30:00_17:30 - 17:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,17:45:00,5/11/2025,Sunday,17:45 - 18:00,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_17:45:00_17:45 - 18:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,18:00:00,5/11/2025,Sunday,18:00 - 18:15,1,1.66,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_18:00:00_18:00 - 18:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,18:15:00,5/11/2025,Sunday,18:15 - 18:30,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_18:15:00_18:15 - 18:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,18:30:00,5/11/2025,Sunday,18:30 - 18:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_18:30:00_18:30 - 18:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,18:45:00,5/11/2025,Sunday,18:45 - 19:00,1,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_18:45:00_18:45 - 19:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,19:00:00,5/11/2025,Sunday,19:00 - 19:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_19:00:00_19:00 - 19:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,19:15:00,5/11/2025,Sunday,19:15 - 19:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_19:15:00_19:15 - 19:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,19:30:00,5/11/2025,Sunday,19:30 - 19:45,2,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_19:30:00_19:30 - 19:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,19:45:00,5/11/2025,Sunday,19:45 - 20:00,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_19:45:00_19:45 - 20:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,20:00:00,5/11/2025,Sunday,20:00 - 20:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_20:00:00_20:00 - 20:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,20:15:00,5/11/2025,Sunday,20:15 - 20:30,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_20:15:00_20:15 - 20:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,20:45:00,5/11/2025,Sunday,20:45 - 21:00,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_20:45:00_20:45 - 21:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,21:00:00,5/11/2025,Sunday,21:00 - 21:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_21:00:00_21:00 - 21:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,21:15:00,5/11/2025,Sunday,21:15 - 21:30,1,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_21:15:00_21:15 - 21:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,21:30:00,5/11/2025,Sunday,21:30 - 21:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_21:30:00_21:30 - 21:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,21:45:00,5/11/2025,Sunday,21:45 - 22:00,2,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_21:45:00_21:45 - 22:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,22:00:00,5/11/2025,Sunday,22:00 - 22:15,1,1.33,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_22:00:00_22:00 - 22:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,22:15:00,5/11/2025,Sunday,22:15 - 22:30,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_22:15:00_22:15 - 22:30_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,22:30:00,5/11/2025,Sunday,22:30 - 22:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_22:30:00_22:30 - 22:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,22:45:00,5/11/2025,Sunday,22:45 - 23:00,1,1,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_22:45:00_22:45 - 23:00_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,23:00:00,5/11/2025,Sunday,23:00 - 23:15,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_23:00:00_23:00 - 23:15_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,23:30:00,5/11/2025,Sunday,23:30 - 23:45,1,,Weekend,,India,1st Floor,India_LOC-IN-KALWA_2025-05-11_23:30:00_23:30 - 23:45_1st Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,0:00:00,5/11/2025,Sunday,00:00 - 00:15,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_00:00:00_00:00 - 00:15_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,0:30:00,5/11/2025,Sunday,00:30 - 00:45,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_00:30:00_00:30 - 00:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,1:15:00,5/11/2025,Sunday,01:15 - 01:30,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_01:15:00_01:15 - 01:30_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,1:30:00,5/11/2025,Sunday,01:30 - 01:45,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_01:30:00_01:30 - 01:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,1:45:00,5/11/2025,Sunday,01:45 - 02:00,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_01:45:00_01:45 - 02:00_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:15:00,5/11/2025,Sunday,02:15 - 02:30,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_02:15:00_02:15 - 02:30_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:30:00,5/11/2025,Sunday,02:30 - 02:45,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_02:30:00_02:30 - 02:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,2:45:00,5/11/2025,Sunday,02:45 - 03:00,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_02:45:00_02:45 - 03:00_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:00:00,5/11/2025,Sunday,03:00 - 03:15,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_03:00:00_03:00 - 03:15_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:15:00,5/11/2025,Sunday,03:15 - 03:30,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_03:15:00_03:15 - 03:30_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,3:30:00,5/11/2025,Sunday,03:30 - 03:45,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_03:30:00_03:30 - 03:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:00:00,5/11/2025,Sunday,04:00 - 04:15,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_04:00:00_04:00 - 04:15_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:30:00,5/11/2025,Sunday,04:30 - 04:45,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_04:30:00_04:30 - 04:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,4:45:00,5/11/2025,Sunday,04:45 - 05:00,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_04:45:00_04:45 - 05:00_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:00:00,5/11/2025,Sunday,05:00 - 05:15,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_05:00:00_05:00 - 05:15_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:15:00,5/11/2025,Sunday,05:15 - 05:30,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_05:15:00_05:15 - 05:30_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,5:30:00,5/11/2025,Sunday,05:30 - 05:45,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_05:30:00_05:30 - 05:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,6:00:00,5/11/2025,Sunday,06:00 - 06:15,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_06:00:00_06:00 - 06:15_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,6:30:00,5/11/2025,Sunday,06:30 - 06:45,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_06:30:00_06:30 - 06:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,6:45:00,5/11/2025,Sunday,06:45 - 07:00,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_06:45:00_06:45 - 07:00_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,7:15:00,5/11/2025,Sunday,07:15 - 07:30,1,,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_07:15:00_07:15 - 07:30_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
RND Building,7:30:00,5/11/2025,Sunday,07:30 - 07:45,1,1,Weekend,,India,8th Floor,India_LOC-IN-KALWA_2025-05-11_07:30:00_07:30 - 07:45_8th Floor_RND Building_Weekend_Sunday,LOC-IN-KALWA
